latitude,longitude,area_in_meters,confidence
-33.41480588,-70.56911806,9.5411,0.6639
-33.39866457,-70.58876451,306.0909,0.8268
-33.41246091,-70.57715461,300.9073,0.8233
-33.41411062,-70.55592104,20.5151,0.6576
-33.39935027,-70.55538615,7.1424,0.6865
-33.39551084,-70.59130939,146.641,0.7507
-33.40500238,-70.5945017,212.1809,0.9081
-33.40138714,-70.58788928,40.9265,0.8174
-33.39478697,-70.55120274,96.7999,0.8557
-33.39646555,-70.5603933,71.6311,0.7087
-33.39167654,-70.57718107,159.3947,0.8771
-33.39480042,-70.58568534,34.2111,0.7337
-33.39143731,-70.56284397,8.2192,0.7147
-33.40265647,-70.55748889,98.1887,0.7285
-33.3953464,-70.55518486,45.4895,0.7448
-33.40467368,-70.57426475,1777.6551,0.8593
-33.41686944,-70.55032467,100.1282,0.8727
-33.39450027,-70.5876498,37.7724,0.6744
-33.41747988,-70.57757073,45.0066,0.7083
-33.41676637,-70.57052523,92.0024,0.8232
-33.41985761,-70.57239293,23.2011,0.7157
-33.4022051,-70.56672367,324.9711,0.9143
-33.41357885,-70.552343,45.3899,0.8384
-33.39856382,-70.56418528,8.0536,0.6666
-33.41977051,-70.59513992,2537.974,0.8599
-33.4158734,-70.5819054,20.1639,0.7184
-33.39609236,-70.57199839,67.6908,0.6502
-33.41331231,-70.55427488,172.0668,0.8381
-33.39690191,-70.59977384,604.7818,0.8159
-33.39322048,-70.572629,64.0682,0.6856
-33.41871593,-70.57301395,22.3722,0.7241
-33.3931616,-70.57983834,153.0532,0.8355
-33.41365419,-70.57274495,29.434,0.7661
-33.4038961,-70.57841072,72.5242,0.6915
-33.40269688,-70.55039143,103.3222,0.8524
-33.39487816,-70.56954338,174.0281,0.8904
-33.4185286,-70.5651347,21.1835,0.6715
-33.39232132,-70.58941211,20.096,0.7388
-33.39763208,-70.55696097,108.346,0.8111
-33.41228132,-70.57223349,372.2404,0.849
-33.39095285,-70.57401565,72.2732,0.7825
-33.41280203,-70.56111848,27.0173,0.7616
-33.40678368,-70.55451701,60.1344,0.7579
-33.39105406,-70.55533737,12.7423,0.6654
-33.39161681,-70.58689841,18.1762,0.7253
-33.40088168,-70.5838142,79.8894,0.6991
-33.40220226,-70.59224716,48.1552,0.6556
-33.40050352,-70.55631446,193.6603,0.8162
-33.4040442,-70.55141278,160.1895,0.8083
-33.40789717,-70.55414332,56.6156,0.8334
-33.4141471,-70.55302346,26.9659,0.675
-33.4134534,-70.57445361,12.0583,0.7146
