latitude,longitude,area_in_meters,confidence
-33.49499005,-70.76133878,26.2288,0.7618
-33.51621273,-70.78988744,303.919,0.8206
-33.51834746,-70.76033436,88.6053,0.8733
-33.52227143,-70.78492837,29.8822,0.7619
-33.50604032,-70.78092368,10.6209,0.6571
-33.51446785,-70.75299116,93.7852,0.8386
-33.51612851,-70.76238582,41.7362,0.7652
-33.51609719,-70.7805359,5.4751,0.7645
-33.51580063,-70.78053912,16.6151,0.6736
-33.50939373,-70.78654835,39.1352,0.7424
-33.49379172,-70.77206693,139.8815,0.9082
-33.51801988,-70.78209173,6.3778,0.7118
-33.51403221,-70.78918819,13.3867,0.7351
-33.52523291,-70.78553289,142.0557,0.8411
-33.52542486,-70.77203006,21.1338,0.7043
-33.51234935,-70.78852474,26.5033,0.6609
-33.5099504,-70.78550973,16.4631,0.6818
-33.51171524,-70.75156695,862.3072,0.8778
-33.51509163,-70.74273176,111.338,0.8441
-33.50853537,-70.78913563,50.3466,0.8228
-33.51644905,-70.77163021,20.9408,0.6803
-33.52904327,-70.78712628,84.9489,0.8461
-33.52568881,-70.765689,108.4176,0.8648
-33.52721424,-70.76991542,165.2765,0.8733
-33.50553072,-70.78646798,31.6242,0.7838
-33.52216396,-70.77362495,70.1095,0.79
-33.51744339,-70.76700465,55.5124,0.8148
-33.51907882,-70.77265482,43.7344,0.7084
-33.49770966,-70.75798434,20.437,0.7174
-33.52089107,-70.77982841,23.3405,0.65
-33.50191673,-70.78415807,13.9619,0.7686
-33.51781451,-70.77323372,246.8831,0.8237
-33.50126283,-70.74447289,8.3211,0.6614
-33.51434035,-70.77264845,23.126,0.763
-33.50035087,-70.75265211,7.0667,0.6747
-33.50469451,-70.75327242,199.3495,0.8698
-33.49649072,-70.7446352,8.0841,0.6896
-33.52242029,-70.78622298,24.2684,0.8156
-33.52204036,-70.75644785,33.9158,0.7863
-33.51023621,-70.77174868,9.149,0.7033
-33.50224443,-70.744082,304.453,0.8149
-33.52935342,-70.77807185,90.106,0.8689
-33.49886473,-70.76738858,43.495,0.744
-33.50566627,-70.75071607,82.3574,0.8911
